182,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,-1,-1,-1,-1,50,-1,-1
44,25,26,4,24,25,20,21,27,23,20,21,4,24,25,4,24,25,20,15,15,15,15,15,13,4,24,25,44,25,26,4,24,25,20,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,-1,-1,-1,-1,50,-1,-1
24,23,27,15,15,15,15,13,26,25,43,23,24,25,27,4,24,15,55,-1,-1,-1,-1,-1,-1,56,20,21,24,15,14,15,13,44,26,50,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,336,-1,-1,-1,336,-1,-1,-1,308,-1,54,50,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,50,308,-1,133,50,52,-1,-1,-1,-1,-1,50,50,50,50,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452,50,50,-1,-1,-1,-1,50,-1,-1
13,15,55,-1,-1,-1,-1,-1,56,44,23,4,20,21,44,18,31,-1,-1,-1,-1,175,-1,-1,-1,-1,56,23,55,-1,-1,-1,-1,56,25,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,335,-1,-1,-1,333,-1,-1,-1,-1,-1,54,50,-1,-1,-1,-1,-1,175,50,-1,-1,-1,-1,50,-1,-1,134,50,52,-1,-1,-1,-1,-1,50,50,50,50,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,-1,-1,-1,-1,50,-1,-1
-1,-1,-1,-1,308,-1,-1,-1,-1,56,47,47,47,47,47,38,40,172,-1,-1,-1,7,7,-1,-1,-1,-1,50,-1,-1,-1,-1,-1,-1,56,50,-1,171,-1,-1,-1,-1,-1,-1,308,-1,-1,-1,456,-1,-1,-1,308,-1,-1,333,-1,175,53,30,30,30,30,30,30,50,50,308,-1,-1,-1,30,30,50,30,30,30,-1,50,-1,30,30,50,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,-1,-1,-1,-1,50,-1,-1
310,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,31,7,7,7,-1,-1,-1,-1,308,-1,-1,50,-1,175,-1,-1,-1,-1,-1,50,30,30,30,30,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,175,-1,-1,-1,30,30,30,50,50,50,50,50,50,50,50,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,-1,-1,-1,-1,50,-1,-1
311,-1,-1,-1,-1,-1,-1,-1,-1,308,-1,-1,-1,-1,-1,38,40,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,7,7,7,-1,308,-1,-1,15,15,15,15,15,15,-1,-1,-1,104,30,30,30,30,30,30,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,-1,-1,-1,-1,50,-1,-1
312,-1,91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,63,63,-1,-1,-1,-1,-1,-1,7,7,7,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,102,-1,336,-1,-1,-1,336,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,30,30,30,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,52,-1,308,-1,-1,-1,-1,-1,-1,-1,-1,30,30,30,30,30,30,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,-1,-1,-1,-1,50,-1,-1
10,1,6,-1,92,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,102,-1,335,-1,-1,-1,335,-1,-1,308,-1,-1,308,-1,-1,-1,-1,-1,-1,-1,-1,50,50,-1,-1,-1,-1,-1,-1,-1,30,30,30,30,50,-1,-1,-1,-1,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,50,50,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,-1,-1,-1,-1,50,-1,-1
11,4,8,-1,-1,308,-1,-1,-1,-1,-1,-1,-1,308,-1,-1,-1,-1,-1,-1,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,324,91,-1,-1,-1,-1,-1,-1,102,-1,334,-1,-1,-1,334,-1,-1,-1,-1,-1,-1,-1,-1,53,30,30,-1,-1,-1,50,50,-1,-1,172,-1,-1,-1,-1,-1,-1,-1,-1,50,-1,-1,-1,-1,50,30,30,30,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,308,-1,-1,-1,-1,50,50,-1,-1,-1,-1,50,-1,-1
11,4,3,-1,202,211,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,19,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,455,-1,-1,30,30,30,30,30,51,-1,-1,-1,103,-1,333,-1,-1,-1,334,-1,-1,-1,-1,-1,-1,-1,-1,54,50,50,-1,-1,-1,50,50,-1,30,30,30,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,-1,-1,-1,-1,50,-1,-1
11,11,8,-1,53,30,30,30,30,30,30,30,30,51,-1,-1,9,27,8,-1,-1,-1,-1,324,324,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,50,50,50,30,30,30,30,30,51,-1,-1,-1,334,-1,-1,-1,-1,-1,30,30,30,50,50,50,-1,-1,-1,50,50,-1,-1,-1,-1,-1,-1,308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,456,-1,308,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,30,-1,-1,-1,-1,-1,-1,-1,50,50,-1,-1,-1,-1,50,-1,-1
28,19,30,29,25,25,20,21,27,23,20,21,50,50,28,28,19,30,28,28,19,30,28,28,19,30,28,19,30,202,202,202,202,202,202,202,50,50,50,50,50,50,50,50,50,50,52,324,-1,-1,333,-1,-1,-1,-1,-1,50,50,50,50,50,50,-1,-1,-1,50,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50,50,-1,-1,-1,-1,50,-1,-1
